STG,SCG,STR,LPR,PEG, UNS
0.42,0.49,0.15,0.8,0.11,High
0.15,0.15,0.85,0.98,0.89,Low
0.79,0.65,0.59,0.75,0.52,Middle
0.38,0.84,0.53,0.51,0.69,very_low
0.69,0.23,0.27,0.83,0.66,Middle
0.5,0.6,0.94,0.96,0.86,Low
0.64,0.47,0.76,0.48,0.19,Middle
0.48,0.32,0.38,0.04,0.6,High
0.77,0.0,0.39,0.76,0.11,very_low
0.14,0.46,0.43,0.69,0.85,Middle
0.14,0.7,0.3,0.57,0.51,Low
0.05,0.61,0.16,0.01,0.69,Low
0.07,0.72,0.09,0.79,0.2,Low
0.25,0.74,0.52,0.87,0.1,Middle
0.58,0.13,0.65,0.82,0.02,High
0.38,0.54,0.44,0.55,0.45,Low
0.66,0.17,0.46,0.37,0.71,Middle
0.57,0.66,0.89,0.53,0.15,High
0.07,0.61,0.64,0.6,0.34,Low
0.08,0.65,0.04,0.4,0.62,Low
0.72,0.26,0.54,0.39,0.13,Low
0.71,0.04,0.46,0.61,0.66,very_low
0.3,0.08,0.27,0.16,0.52,Low
0.47,0.07,0.29,0.17,0.61,Low
0.12,0.01,0.53,0.89,0.75,High
0.49,0.66,0.94,0.42,0.74,very_low
0.55,0.38,0.27,0.04,0.66,Middle
0.59,0.47,0.16,0.3,0.12,Low
0.6,0.38,0.53,0.64,0.79,High
0.33,0.15,0.05,0.46,0.59,Middle
0.21,0.17,0.88,0.19,0.57,Low
0.67,0.72,0.95,0.55,0.5,Middle
0.61,0.84,0.08,0.14,0.02,very_low
0.33,0.83,0.48,0.23,0.76,Middle
0.74,0.55,0.62,0.95,0.18,Low
0.48,0.55,0.63,0.49,0.41,High
0.18,0.12,0.35,0.17,0.53,Middle
0.4,0.43,0.59,0.61,0.52,Low
0.56,0.7,0.02,0.69,0.36,very_low
0.65,0.19,0.89,0.49,0.13,Low
0.37,0.64,0.65,0.04,0.58,Middle
0.11,0.33,0.21,0.9,0.56,Middle
0.67,0.82,0.56,0.37,0.35,Middle
0.22,0.83,0.22,0.88,0.38,High
0.07,0.85,0.87,0.15,0.43,Middle
0.57,0.16,0.54,0.03,0.29,Low
0.17,0.35,0.29,0.07,0.26,Middle
0.69,0.6,0.5,0.68,0.88,Middle
0.92,0.6,0.13,0.45,0.7,Middle
0.38,0.6,0.63,0.5,0.59,Low
0.67,0.36,0.59,0.74,0.79,Low
0.85,0.73,0.54,0.07,0.6,Middle
0.89,0.27,0.07,0.53,0.01,Low
0.95,0.44,0.88,0.83,0.76,Middle
0.65,0.23,0.37,0.91,0.62,Middle
0.91,0.08,0.51,0.02,0.44,Middle
0.84,0.04,0.58,0.7,0.47,Low
0.65,0.22,0.07,0.93,0.72,Low
0.19,0.64,0.39,0.21,0.62,High
0.2,0.16,0.75,0.47,0.05,Low
0.11,0.63,0.6,0.64,0.47,High
0.81,0.41,0.58,0.42,0.76,Middle
0.7,0.24,0.22,0.93,0.93,High
0.12,0.15,0.83,0.38,0.07,High
0.11,0.78,0.57,0.26,0.43,Middle
0.61,0.5,0.28,0.53,0.54,Middle
0.1,0.05,0.62,0.83,0.72,High
0.69,0.44,0.65,0.39,0.69,Low
0.98,0.9,0.56,0.81,0.44,Middle
0.51,0.74,0.74,0.64,0.42,High
0.33,0.6,0.5,0.68,0.21,Middle
0.96,0.35,0.3,0.22,0.58,Middle
0.51,0.87,0.21,0.67,0.29,Middle
0.29,0.62,0.09,0.75,0.7,High
0.77,0.88,0.7,0.07,0.17,Low
0.76,0.82,0.37,0.54,0.39,Middle
0.93,0.54,0.23,0.84,0.19,Middle
0.07,0.18,0.61,0.97,0.71,Middle
0.41,0.07,0.37,0.0,0.5,Middle
0.78,0.07,0.93,0.91,0.31,Middle
0.24,0.44,0.24,0.9,0.57,Low
0.65,0.14,0.69,0.35,0.66,Middle
0.18,0.18,0.86,0.65,0.09,Middle
0.6,0.59,0.11,0.98,0.24,High
0.64,0.86,0.75,0.94,0.14,High
0.19,0.07,0.44,0.87,0.25,Low
0.1,0.34,0.89,0.99,0.74,Low
0.27,0.59,0.65,0.08,0.76,Low
0.63,0.09,0.69,0.56,0.48,Low
0.35,0.89,0.67,0.7,0.18,Low
0.69,0.01,0.69,0.7,0.57,very_low
0.55,0.8,0.29,0.48,0.34,very_low
0.22,0.76,0.54,0.76,0.0,Middle
0.22,0.68,0.01,0.74,0.74,Middle
0.08,0.45,0.53,0.62,0.41,High
0.96,0.08,0.61,0.6,0.52,Middle
